Type,SKU,Name,Published,Visibility in catalog,Regular price,In stock?,Categories,Short description,Description
simple,GAM-001,Mouse Bungee Profesional,1,visible,65,1,Gaming,"Soporte premium para cable de ratón con base antideslizante y brazo flexible. Elimina por completo la fricción del cable sobre el escritorio, garantizando movimientos rápidos, fluidos y de alta precisión en juegos competitivos. Siente la libertad de un ratón inalámbrico sin sacrificar la latencia.","<h3>Domina cada partida con el Mouse Bungee definitivo</h3>
<p>Si juegas títulos competitivos y de acción rápida como Valorant, CS:GO, Dota 2 o League of Legends, sabes que la fricción del cable o los tirones inesperados pueden arruinar un movimiento perfecto o hacerte perder un enfrentamiento clave. Este Mouse Bungee está diseñado para mantener el cable de tu ratón suspendido en el aire, dándote la sensación total de usar un ratón inalámbrico, pero manteniendo la respuesta instantánea y la latencia cero de una conexión por cable.</p>
<h4>Características Principales</h4>
<ul>
<li><strong>Base antideslizante ultra pesada:</strong> Cuenta con un núcleo de peso integrado y patas de goma que garantizan máxima estabilidad incluso en los movimientos (flicks) más bruscos.</li>
<li><strong>Brazo flexible de doble resorte:</strong> Fabricado en acero inoxidable resistente al óxido, acompaña tus movimientos de forma natural sin generar resistencia.</li>
<li><strong>Clip de sujeción universal:</strong> Cabezal de goma adaptable a cualquier grosor de cable, ya sea trenzado grueso o de goma estándar.</li>
<li><strong>Diseño compacto y minimalista:</strong> Ocupa un espacio mínimo en tu escritorio, mejorando la estética de tu setup.</li>
</ul>
<h4>¿Por qué elegir este producto?</h4>
<p>Es la mejora más económica y con mayor impacto que puedes hacerle a tu setup competitivo. Protege el cable de tu ratón del desgaste por rozamiento y mejora tu memoria muscular al estandarizar el peso de tus movimientos.</p>"
simple,GAM-002,Desk Mat XXL (900x400 mm),1,visible,85,1,Gaming,"Alfombrilla de escritorio tamaño completo (90x40 cm) con superficie de microfibra de alta densidad y base de goma natural antideslizante. Protege tu mesa, mejora la acústica de tu teclado mecánico y ofrece un deslizamiento perfecto y uniforme para el sensor de tu ratón.","<h3>Transforma tu escritorio en una superficie de alta precisión</h3>
<p>Un setup espectacular y profesional necesita una base que esté a la altura. Nuestra alfombrilla XXL (900 x 400 mm) cubre toda tu área principal de trabajo, proporcionando un lienzo unificado para tu teclado, ratón y accesorios. No solo mejora dramáticamente la estética de tu estación, sino que absorbe el sonido de los teclados mecánicos y protege la madera o el cristal de tu escritorio contra rayones y derrames.</p>
<h4>Características Principales</h4>
<ul>
<li><strong>Tamaño Panorámico XXL (90x40x0.3 cm):</strong> Espacio de sobra para realizar movimientos amplios con el ratón, ideal para jugadores que usan sensibilidades bajas (Low DPI).</li>
<li><strong>Superficie Speed & Control:</strong> Tejido de microfibra de alta densidad optimizado tanto para sensores ópticos como láser, logrando el equilibrio perfecto entre velocidad de deslizamiento y precisión de frenado.</li>
<li><strong>Bordes cosidos reforzados:</strong> Costura perimetral de alta calidad que evita el deshilachado y garantiza años de durabilidad sin deformarse.</li>
<li><strong>Base de goma natural texturizada:</strong> Agarre extremo a cualquier superficie, se mantiene completamente firme en los momentos más intensos.</li>
<li><strong>Fácil de limpiar y lavable:</strong> Superficie con tratamiento que repele salpicaduras leves; se puede lavar a mano para que luzca siempre como nueva.</li>
</ul>
<h4>El toque final para tu Setup</h4>
<p>Dile adiós a los bordes de la alfombrilla tradicional molestando tu muñeca. Al colocar todo sobre un Desk Mat, unificas el aspecto de tu setup y ganas una comodidad inigualable para tus brazos durante largas jornadas.</p>"
simple,GAM-003,Grip Tape + Skates de teflón puros,1,visible,45,1,Gaming,"Kit de actualización profesional para ratón. Incluye cintas de agarre texturizadas de poliuretano para evitar resbalones por sudor, y patas de reemplazo (skates) de teflón PTFE 100% puro para reducir la fricción al mínimo. Renueva tu ratón y mejora tu puntería instantáneamente.","<h3>Renueva tu ratón y lleva tu Aim al siguiente nivel</h3>
<p>Con el uso diario, el plástico de tu ratón se pule y pierde agarre, y las patas originales se desgastan generando fricción irregular. Este kit es la solución definitiva para los puristas del rendimiento. El Grip Tape absorbe el sudor de tus manos y garantiza un agarre perfecto sin importar tu estilo (garra, palma o punta de los dedos), mientras que los skates de Teflón puro hacen que tu ratón flote literalmente sobre la alfombrilla.</p>
<h4>Características Principales</h4>
<ul>
<li><strong>Material Grip de Grado Profesional:</strong> Fabricado en poliuretano texturizado y absorbente, ultrafino (0.5mm) para no alterar la forma ergonómica de tu ratón.</li>
<li><strong>Skates 100% PTFE (Politetrafluoroetileno):</strong> Teflón puro sin aditivos ni tintes. Deslizamiento suave como el hielo con la menor fricción posible del mercado.</li>
<li><strong>Bordes redondeados (Curved Edges):</strong> Los skates están biselados en los bordes para no raspar ni engancharse en las fibras de tu alfombrilla.</li>
<li><strong>Adhesivo 3M de alta calidad:</strong> Aplicación fácil y firme, que no deja residuos pegajosos ni daña la carcasa si decides retirarlos en el futuro.</li>
</ul>
<h4>¿Por qué es indispensable?</h4>
<p>Si sientes que tu ratón está ""pesado"" o que resbala de tus dedos en partidas tensas, no necesitas comprar un ratón nuevo. Este kit le devolverá la vida a tu periférico y te dará una ventaja competitiva real.</p>"
simple,GAM-004,Teclado mecánico 'One-Handed',1,visible,150,1,Gaming,"Mini teclado mecánico de una sola mano, diseñado exclusivamente para el rendimiento en juegos. Elimina las teclas redundantes para maximizar el espacio del ratón, mejora tu postura alineando tus hombros y ofrece switches de alta velocidad y respuesta táctil para partidas competitivas.","<h3>Máxima ergonomía y espacio ilimitado para tu ratón</h3>
<p>¿Para qué ocupar todo el escritorio si al jugar solo utilizas la mitad izquierda de tu teclado? El teclado 'One-Handed' está diseñado específicamente pensando en la anatomía y las necesidades de los gamers competitivos (FPS, MOBA, Battle Royales). Al eliminar el teclado numérico y las teclas de escritura, te permite acercar el ratón al centro de tu cuerpo. Esto mejora dramáticamente tu postura, reduce la tensión en los hombros y libera un espacio vital para realizar movimientos de ratón amplios (flicks) sin chocar.</p>
<h4>Características Principales</h4>
<ul>
<li><strong>Switches Mecánicos de Alto Rendimiento:</strong> Respuesta táctil rápida, precisa y satisfactoria, con una vida útil garantizada de 50 millones de pulsaciones por tecla.</li>
<li><strong>Diseño Ergonómico Avanzado:</strong> Incluye un reposamuñecas integrado y sobredimensionado que brinda soporte completo a la palma y reduce la fatiga del túnel carpiano.</li>
<li><strong>Anti-Ghosting Total:</strong> N-Key Rollover en todas las teclas; presiona múltiples botones al mismo tiempo sin perder ninguna acción.</li>
<li><strong>Iluminación RGB Dinámica:</strong> Múltiples efectos y perfiles personalizables para ubicar rápidamente tus teclas en sesiones nocturnas.</li>
<li><strong>Plug & Play Inmediato:</strong> Conexión USB directa, compatible con Windows y Mac sin necesidad de instalar software complejo o drivers pesados.</li>
</ul>
<h4>La elección de los profesionales</h4>
<p>Ideal para setups en escritorios pequeños o para jugadores de laptops que desean un teclado mecánico real sin sacrificar portabilidad. Concéntrate solo en las teclas que importan para ganar.</p>"
simple,HDW-001,Tapete de silicona antiestático (S-160),1,visible,100,1,Hardware,"Alfombrilla de reparación profesional de silicona de grado industrial. Soporta temperaturas de hasta 500°C y cuenta con decenas de compartimentos organizadores, reglas y zonas magnéticas. Es la superficie de trabajo definitiva para proteger tu escritorio al soldar o ensamblar electrónica.","<h3>La estación de trabajo definitiva para Makers y Técnicos</h3>
<p>Olvídate de quemar la mesa de tu escritorio o perder tornillos microscópicos en el suelo. El tapete magnético S-160 es una herramienta indispensable para cualquier persona que repare celulares, arme circuitos con Arduino, o trabaje con soldadura. Está fabricado en silicona de grado industrial extremadamente duradera que no se deforma ni emite gases tóxicos al calentarse, convirtiendo cualquier mesa en un banco de trabajo profesional.</p>
<h4>Características Principales</h4>
<ul>
<li><strong>Resistencia Térmica Extrema:</strong> Soporta temperaturas directas de hasta 500°C. Puedes apoyar tu cautín caliente directamente sobre la alfombrilla o derramar estaño fundido sin causarle ningún daño.</li>
<li><strong>Zonas Magnéticas Integradas:</strong> Cuenta con áreas imantadas específicas para mantener seguros los tornillos diminutos y evitar que reboten o rueden fuera de la mesa.</li>
<li><strong>Organización Milimétrica:</strong> Dispone de más de 100 pequeños compartimentos numerados, ranuras para placas madre, orificios para destornilladores y cajas con tapa, permitiendo clasificar chips y resistencias eficientemente.</li>
<li><strong>Superficie Antiestática y Antideslizante:</strong> Protege los componentes electrónicos sensibles (como procesadores o memorias) de descargas estáticas, mientras se adhiere firmemente a tu escritorio.</li>
<li><strong>Mantenimiento Sencillo:</strong> El estaño fundido, la resina (flux) y los pegamentos no se adhieren a la superficie. Se limpia fácilmente con alcohol isopropílico o agua.</li>
</ul>
<h4>Orden y seguridad en cada proyecto</h4>
<p>Con un tamaño generoso (45 x 30 cm aprox.), tendrás espacio suficiente para desmontar portátiles o tablets. Optimiza tu flujo de trabajo y deja de improvisar con cartones o tablas de madera que ponen en riesgo tus herramientas.</p>"
simple,HDW-004,Extractor de humo de soldadura con filtro,1,visible,150,1,Hardware,"Ventilador de extracción compacto para escritorio equipado con filtro de carbón activado de alta densidad. Absorbe y purifica los gases tóxicos, el humo de la resina (flux) y los malos olores generados durante el trabajo de soldadura electrónica, protegiendo tu salud respiratoria.","<h3>Protege tus pulmones mientras creas y reparas</h3>
<p>La seguridad es primero. El humo que libera la resina del estaño y los fundentes al soldar no solo es molesto, sino que a largo plazo es altamente tóxico e irritante para los ojos, la garganta y los pulmones. Este extractor de humo compacto de grado profesional está diseñado para colocarse en tu escritorio justo frente a tu área de trabajo, absorbiendo agresivamente los gases nocivos antes de que lleguen a tu rostro.</p>
<h4>Características Principales</h4>
<ul>
<li><strong>Filtro de Carbón Activado Reemplazable:</strong> Su filtro de espuma de uretano impregnado de carbón activado atrapa eficazmente las partículas tóxicas de plomo, el humo del flux y neutraliza los olores fuertes (incluye 1 filtro instalado y 1 de repuesto).</li>
<li><strong>Ángulo Ajustable de Trabajo:</strong> El cabezal del ventilador se puede inclinar y fijar en múltiples ángulos para dirigir la succión exactamente a la placa que estás soldando.</li>
<li><strong>Motor Silencioso y de Alto Rendimiento:</strong> Ventilador de aspas optimizadas que genera un potente flujo de aire direccional (hasta 1000L/min) sin interrumpir tu concentración con ruidos excesivos.</li>
<li><strong>Diseño Robusto y Estable:</strong> Carcasa disipadora fabricada en materiales ignífugos de alta calidad, con patas de goma que absorben vibraciones.</li>
<li><strong>Fácil mantenimiento:</strong> Cambiar el filtro toma literalmente 5 segundos, asegurando que tu equipo siempre funcione al máximo de su capacidad.</li>
</ul>
<h4>Una inversión en tu salud a largo plazo</h4>
<p>Si sueldas más de una vez a la semana, este equipo no es un lujo, es una necesidad. Trabaja en tus prototipos de robótica y reparación de hardware con total tranquilidad y en un ambiente limpio, incluso si tu habitación no tiene buena ventilación natural.</p>"
simple,ERG-001,Brazo articulado VESA para monitor con pistón de gas,1,visible,180,1,Ergonomía,"Soporte premium para monitor con sistema de resorte de gas que permite ajustes fluidos 360°. Libera espacio masivo en tu escritorio, mejora tu postura al colocar la pantalla a la altura de tus ojos, y permite rotar a formato vertical (ideal para programadores y streamers).","<h3>Ergonomía profesional, salud postural y un escritorio despejado</h3>
<p>Las bases originales que vienen de fábrica con los monitores ocupan muchísimo espacio, atrapan polvo y, lo peor de todo, rara vez alcanzan la altura ergonómica correcta para tu cuello. Este brazo articulado premium con sistema de pistón de gas transforma tu área de trabajo por completo, permitiéndote flotar tu pantalla en el aire y ajustarla con la punta de un dedo a la posición perfecta, previniendo dolores cervicales y de espalda.</p>
<h4>Características Principales</h4>
<ul>
<li><strong>Libertad de Movimiento Total (360°):</strong> Gira de izquierda a derecha, inclina hacia arriba o abajo (para evitar reflejos) y ajusta la altura de forma continua y fluida gracias a su cilindro neumático.</li>
<li><strong>Modo Programador / Vertical:</strong> Rota la pantalla 90 grados al instante. Esencial para leer líneas de código infinitas, navegar por bases de datos, leer chats de Twitch o editar documentos de texto largos sin hacer scroll constantemente.</li>
<li><strong>Instalación Dual Flexible:</strong> Incluye un sistema de prensa robusta en forma de 'C' para agarrar el borde del escritorio, y un sistema de ojal para atravesar la mesa, adaptándose a cualquier mueble.</li>
<li><strong>Gestión de Cables Oculta (Cable Management):</strong> Cuenta con rieles integrados en el brazo para enrutar los cables de poder y HDMI/DisplayPort, manteniendo tu setup impecablemente minimalista.</li>
<li><strong>Compatibilidad Universal VESA:</strong> Soporta estándares 75x75mm y 100x100mm, adecuado para pantallas desde 17"" hasta 32"" y soporta monitores ultrawide pesados.</li>
</ul>
<h4>El pilar central de un Setup Moderno</h4>
<p>Al elevar el monitor de la superficie de la mesa, recuperarás casi el 30% del espacio útil de tu escritorio. Podrás guardar el teclado debajo cuando estudies o leas, logrando un ambiente limpio y enfocado que disparará tu productividad.</p>"
simple,ERG-002,Lámpara de monitor asimétrica (Screenbar USB),1,visible,160,1,Ergonomía,Iluminación de escritorio inteligente que se monta sobre el monitor. Su diseño óptico asimétrico ilumina tu teclado y documentos de forma brillante sin generar ningún reflejo molesto en la pantalla. Cuenta con controles táctiles para ajustar el brillo y la temperatura de color.,"<h3>Cuida tus ojos, elimina los reflejos y mejora tu concentración</h3>
<p>Trabajar, estudiar o jugar a oscuras fatiga enormemente la vista, y usar una lámpara de escritorio tradicional es aún peor porque genera un terrible reflejo brillante en tu monitor que te obliga a forzar la vista. La Screenbar es la solución definitiva de iluminación moderna. Esta lámpara de vanguardia se coloca elegantemente sobre el borde superior de tu pantalla y proyecta la luz hacia abajo en un ángulo específico, iluminando tu zona de trabajo perfectamente sin afectar tu visión.</p>
<h4>Características Principales</h4>
<ul>
<li><strong>Diseño Óptico Asimétrico:</strong> La ingeniería de sus lentes internos asegura que la luz caiga únicamente sobre el escritorio y el teclado. NUNCA refleja luz hacia la pantalla del monitor ni deslumbra directamente a tus ojos.</li>
<li><strong>Ahorro Total de Espacio:</strong> Olvídate de las lámparas de pie o con bases grandes. Se sujeta suavemente al marco de cualquier monitor (plano o curvo) mediante un contrapeso, liberando el 100% de tu mesa.</li>
<li><strong>Luz Personalizable e Inteligente:</strong> Cambia la temperatura de color desde una luz cálida (2800K, ideal para relajarse viendo películas o jugar) hasta luz blanca fría (5500K, para máxima concentración al programar o estudiar).</li>
<li><strong>Regulación de Brillo Continua:</strong> Controles táctiles capacitivos que te permiten atenuar la potencia lumínica a tu gusto sin parpadeos (flicker-free).</li>
<li><strong>Alimentación por USB Tipo-C:</strong> Conéctala directamente a los puertos USB de tu PC, al propio monitor o a un cargador de celular; no requiere enchufes de pared adicionales.</li>
</ul>
<h4>El accesorio que no sabías que necesitabas</h4>
<p>Una vez que pruebes una Screenbar, no podrás usar una computadora sin ella. Crea una atmósfera inmersiva en tu setup, reduce los dolores de cabeza por fatiga ocular (Computer Vision Syndrome) y eleva la estética de tu espacio a un nivel superior.</p>"
simple,ACC-001,Cable USB en espiral tipo aviador (Coiled Cable),1,visible,120,1,Accesorios,"Cable USB-C de lujo para teclados mecánicos. Destaca por su gruesa espiral (coil) que mantiene el orden, recubrimiento de doble malla resistente y un conector de aviación metálico desmontable. El toque estético final que transforma un setup normal en uno de exposición premium.","<h3>El nivel máximo del coleccionismo y la estética de teclados</h3>
<p>El detalle final que separa un setup normal y funcional de uno de exposición fotográfica. Los 'Coiled Cables' (cables en espiral) son el accesorio más codiciado en la comunidad de entusiastas de los teclados mecánicos custom. Inspirados en la estética retro-industrial y la aviación clásica, estos cables no solo transmiten datos a alta velocidad, sino que actúan como una pieza de arte central en tu escritorio, reflejando tu personalidad y atención al detalle.</p>
<h4>Características Principales</h4>
<ul>
<li><strong>Conector de Aviador Metálico (Detachable):</strong> El robusto acoplamiento metálico en el centro del cable te permite desconectar el teclado rápidamente sin tener que buscar detrás de tu PC. Añade un peso visual y un aspecto industrial increíble a tu mesa.</li>
<li><strong>Espiral Perfecta y Duradera (Coil):</strong> Diseñado con un proceso térmico de horneado inverso que asegura que la espiral mantenga su forma apretada y elástica, manteniendo el exceso de cable ordenado, tenso y sin enredos sobre el escritorio.</li>
<li><strong>Doble Mallado Premium (Double Sleeving):</strong> Construcción de grado militar. Cuenta con un núcleo de Paracord interior cubierto con una malla trenzada PET (Techflex) exterior para máxima durabilidad, protección contra dobleces y colores vibrantes que no se desgastan.</li>
<li><strong>Conexión Tipo-C a Tipo-A:</strong> Puerto USB-C chapado en oro para el teclado, garantizando compatibilidad con el 99% de los teclados mecánicos modernos, placas de desarrollo y periféricos actuales de alta gama.</li>
<li><strong>Transferencia y Carga Estable:</strong> Hilos de cobre de alta pureza que garantizan cero latencia y energía suficiente incluso para teclados con alta demanda de iluminación RGB.</li>
</ul>
<h4>Demuestra tu estilo</h4>
<p>Ya sea que quieras un look monocromático minimalista o hacer juego con los colores de tus keycaps favoritas, un cable de aviador es la declaración de intenciones definitiva de que tomas en serio la construcción de tu setup.</p>"
simple,ACC-002,Bandeja pasacables de rejilla bajo escritorio,1,visible,95,1,Accesorios,"Estructura metálica de alta capacidad para la gestión de cables (Cable Management). Se instala debajo del escritorio para ocultar regletas eléctricas, adaptadores gruesos y kilómetros de cable, logrando una estética limpia y protegiendo tus conexiones de polvo y tirones.","<h3>El secreto mejor guardado de un setup impecable</h3>
<p>¿Tu escritorio se ve genial por arriba, pero parece una peligrosa jungla de cables enredados por abajo? El 'Cable Management' (gestión de cables) es el paso obligatorio para pasar de un setup amateur a uno verdaderamente profesional. Esta robusta bandeja metálica de alta capacidad se instala de manera oculta y actúa como el centro de control de tu energía, levantando todo el desorden visual del suelo para que tu área de trabajo se vea limpia, espaciosa y sin estrés visual.</p>
<h4>Características Principales</h4>
<ul>
<li><strong>Alta Capacidad de Carga y Espacio:</strong> Fabricada en acero al carbono soldado de grueso calibre, su diseño ancho soporta sin problemas regletas eléctricas grandes (zapatillas), múltiples transformadores pesados (como los de monitores o laptops) y decenas de cables.</li>
<li><strong>Ventilación Óptima y Segura:</strong> A diferencia de los ductos cerrados de plástico, el diseño de rejilla de alambre abierto permite un flujo de aire constante, evitando el peligroso sobrecalentamiento de los ladrillos de energía (power bricks).</li>
<li><strong>Ruteo Flexible y Multipunto:</strong> Sus amplios orificios permiten pasar cables hacia arriba al monitor, o hacia abajo a la pared, en cualquier punto de la bandeja, facilitando atarlos con cintas de velcro de manera ordenada.</li>
<li><strong>Instalación Sencilla y Segura:</strong> Se puede atornillar firmemente a la madera de cualquier tablero de escritorio (recomendado para escritorios de pie / standing desks).</li>
<li><strong>Mantenimiento Fácil:</strong> Al levantar los cables del piso, tu robot aspiradora o la escoba podrán limpiar tu habitación sin enganchar ni arrancar accidentalmente la conexión de tu PC.</li>
</ul>
<h4>Paz mental visual</h4>
<p>Un entorno de trabajo desordenado genera estrés inconsciente. Invierte una sola tarde ordenando tus cables en esta bandeja y disfruta de la tranquilidad de sentarte frente a un escritorio pulcro y de revista todos los días.</p>"
